id,folder,w,h,category_guess,name
291,tiles,64,64,tile,
292,tiles,64,64,tile,
293,tiles,64,64,tile,
294,tiles,64,64,tile,
295,tiles,64,64,tile,
296,tiles,64,64,tile,
297,tiles,64,64,tile,
298,tiles,64,64,tile,
299,tiles,64,64,tile,
300,tiles,64,64,tile,
301,tiles,64,64,tile,
302,tiles,64,64,tile,
303,tiles,64,64,tile,
304,tiles,64,64,tile,
305,tiles,64,64,tile,
306,tiles,64,64,tile,
307,tiles,64,64,tile,
308,tiles,64,64,tile,
309,tiles,64,64,tile,
310,tiles,64,64,tile,
311,tiles,64,64,tile,
312,tiles,64,64,tile,
313,tiles,64,64,tile,
314,tiles,64,64,tile,
315,tiles,64,64,tile,
316,tiles,64,64,tile,
317,tiles,64,64,tile,
318,tiles,64,64,tile,
319,tiles,64,64,tile,
320,tiles,64,64,tile,
321,tiles,64,64,tile,
322,tiles,64,64,tile,
323,tiles,64,64,tile,
324,tiles,64,64,tile,
325,tiles,64,64,tile,
326,tiles,64,64,tile,
327,tiles,64,64,tile,
328,tiles,64,64,tile,
329,tiles,64,64,tile,
330,tiles,64,64,tile,
331,tiles,64,64,tile,
332,tiles,64,64,tile,
333,tiles,64,64,tile,
334,tiles,64,64,tile,
335,tiles,64,64,tile,
336,tiles,64,64,tile,
337,tiles,64,64,tile,
338,tiles,64,64,tile,
339,tiles,64,64,tile,
340,tiles,64,64,tile,
341,tiles,64,64,tile,
342,tiles,64,64,tile,
343,tiles,64,64,tile,
344,tiles,64,64,tile,
345,tiles,64,64,tile,
346,tiles,64,64,tile,
347,tiles,64,64,tile,
348,tiles,64,64,tile,
349,tiles,64,64,tile,
350,tiles,64,64,tile,
351,tiles,64,64,tile,
352,tiles,64,64,tile,
353,tiles,64,64,tile,
354,tiles,64,64,tile,
355,tiles,64,64,tile,
356,tiles,64,64,tile,
357,tiles,64,64,tile,
358,tiles,64,64,tile,
359,tiles,64,64,tile,
360,tiles,64,64,tile,
361,tiles,64,64,tile,
362,tiles,64,64,tile,
363,tiles,64,64,tile,
364,tiles,64,64,tile,
365,tiles,64,64,tile,
366,tiles,64,64,tile,
367,tiles,64,64,tile,
368,tiles,64,64,tile,
369,tiles,64,64,tile,
370,tiles,64,64,tile,
371,tiles,64,64,tile,
372,tiles,64,64,tile,
373,tiles,64,64,tile,
374,tiles,64,64,tile,
375,tiles,64,64,tile,
376,tiles,64,64,tile,
377,tiles,64,64,tile,
378,tiles,64,64,tile,
379,tiles,64,64,tile,
380,tiles,64,64,tile,
381,tiles,64,64,tile,
382,tiles,64,64,tile,
383,tiles,64,64,tile,
384,tiles,64,64,tile,
2,sprites,220,18,banner,
3,sprites,106,18,banner,
4,sprites,80,30,sprite,
6,sprites,32,18,sprite,
7,sprites,44,20,sprite,
8,sprites,48,22,sprite,
9,sprites,50,26,sprite,
11,sprites,28,22,small_object_or_ped,
14,sprites,26,30,sprite,
15,sprites,18,30,sprite,
26,sprites,220,30,banner,
27,sprites,220,30,banner,
28,sprites,227,34,banner,
29,sprites,160,60,sprite,
30,sprites,28,22,small_object_or_ped,
32,sprites,86,40,sprite,
33,sprites,98,46,sprite,
34,sprites,102,48,sprite,
35,sprites,38,50,sprite,
36,sprites,46,40,sprite,
37,sprites,48,60,sprite,
38,sprites,34,62,sprite,
39,sprites,54,62,sprite,
40,sprites,36,60,sprite,
41,sprites,64,64,sprite,
42,sprites,17,17,small_object_or_ped,
43,sprites,17,17,small_object_or_ped,
44,sprites,36,40,sprite,
45,sprites,36,40,sprite,
46,sprites,22,44,sprite,
48,sprites,44,42,sprite,
49,sprites,44,42,sprite,
137,sprites,18,30,sprite,
138,sprites,18,32,sprite,
150,sprites,32,28,sprite,
154,sprites,32,30,sprite,
164,sprites,22,28,small_object_or_ped,
176,sprites,32,32,sprite,
177,sprites,32,32,sprite,
178,sprites,32,32,sprite,
237,sprites,30,40,sprite,
242,sprites,38,44,sprite,
243,sprites,38,44,sprite,
251,sprites,46,40,sprite,
253,sprites,44,34,sprite,
255,sprites,50,32,sprite,
256,sprites,42,40,sprite,
258,sprites,64,62,sprite,
260,sprites,26,16,small_object_or_ped,
261,sprites,64,28,sprite,
266,sprites,50,56,sprite,
267,sprites,52,48,sprite,
269,sprites,50,52,sprite,
272,sprites,32,32,sprite,
273,sprites,32,32,sprite,
274,sprites,32,32,sprite,
277,sprites,32,24,sprite,
278,sprites,30,30,sprite,
341,sprites,32,20,sprite,
368,sprites,28,28,small_object_or_ped,
374,sprites,40,42,sprite,
375,sprites,40,42,sprite,
376,sprites,40,46,sprite,
378,sprites,46,58,sprite,
403,sprites,44,42,sprite,
404,sprites,50,50,sprite,
405,sprites,56,60,sprite,
406,sprites,62,64,sprite,
407,sprites,64,64,sprite,
408,sprites,62,64,sprite,
409,sprites,60,50,sprite,
410,sprites,60,48,sprite,
415,sprites,22,32,sprite,
460,sprites,32,30,sprite,
462,sprites,16,18,small_object_or_ped,
499,sprites,24,10,small_object_or_ped,
502,sprites,22,12,small_object_or_ped,
504,sprites,32,32,sprite,
507,sprites,46,40,sprite,
508,sprites,52,44,sprite,
510,sprites,60,50,sprite,
512,sprites,60,50,sprite,
513,sprites,60,50,sprite,
514,sprites,62,50,sprite,
515,sprites,62,54,sprite,
518,sprites,46,42,sprite,
521,sprites,56,36,sprite,
523,sprites,40,52,sprite,
524,sprites,48,42,sprite,
525,sprites,60,38,sprite,
527,sprites,42,32,sprite,
528,sprites,48,42,sprite,
529,sprites,60,54,sprite,
530,sprites,60,58,sprite,
531,sprites,58,58,sprite,
532,sprites,58,52,sprite,
533,sprites,64,50,sprite,
534,sprites,62,50,sprite,
535,sprites,60,52,sprite,
536,sprites,62,56,sprite,
537,sprites,62,60,sprite,
538,sprites,64,62,sprite,
541,sprites,104,46,sprite,
542,sprites,96,98,sprite,
544,sprites,96,94,sprite,
545,sprites,104,44,sprite,
546,sprites,92,98,sprite,
548,sprites,96,94,sprite,
558,sprites,24,12,small_object_or_ped,
562,sprites,24,12,small_object_or_ped,
575,sprites,18,24,small_object_or_ped,
588,sprites,22,24,small_object_or_ped,
589,sprites,64,64,sprite,
591,sprites,24,28,small_object_or_ped,
594,sprites,24,26,small_object_or_ped,
597,sprites,14,30,sprite,
599,sprites,24,22,small_object_or_ped,
618,sprites,24,10,small_object_or_ped,
621,sprites,20,10,small_object_or_ped,
623,sprites,24,20,small_object_or_ped,
626,sprites,24,18,small_object_or_ped,
627,sprites,24,20,small_object_or_ped,
631,sprites,22,20,small_object_or_ped,
634,sprites,22,20,small_object_or_ped,
643,sprites,24,24,small_object_or_ped,
665,sprites,20,14,small_object_or_ped,
688,sprites,14,24,small_object_or_ped,
819,sprites,24,24,small_object_or_ped,
831,sprites,14,32,sprite,
851,sprites,12,24,small_object_or_ped,
898,sprites,16,12,small_object_or_ped,
921,sprites,24,18,small_object_or_ped,
926,sprites,24,20,small_object_or_ped,
942,sprites,60,99,sprite,
943,sprites,20,24,small_object_or_ped,
944,sprites,20,24,small_object_or_ped,
945,sprites,20,24,small_object_or_ped,
946,sprites,20,24,small_object_or_ped,
961,sprites,44,38,sprite,
963,sprites,20,38,sprite,
974,sprites,40,40,sprite,
975,sprites,40,40,sprite,
977,sprites,12,44,sprite,
984,sprites,56,95,sprite,
986,sprites,46,52,sprite,
987,sprites,64,64,sprite,
988,sprites,64,64,sprite,
989,sprites,64,64,sprite,
990,sprites,64,64,sprite,
991,sprites,64,64,sprite,
992,sprites,64,64,fx_explosion,
993,sprites,64,64,fx_explosion,
994,sprites,64,64,fx_explosion,
995,sprites,64,64,fx_explosion,
996,sprites,64,64,fx_explosion,
997,sprites,64,64,fx_explosion,
998,sprites,64,64,fx_explosion,
999,sprites,64,64,fx_explosion,
1000,sprites,64,64,fx_explosion,
1001,sprites,64,64,fx_explosion,
1002,sprites,64,64,fx_explosion,
1003,sprites,64,64,fx_explosion,
1004,sprites,64,64,fx_explosion,
1005,sprites,64,64,fx_explosion,
1006,sprites,64,64,fx_explosion,
1007,sprites,64,64,fx_explosion,
1008,sprites,64,64,fx_explosion,
1009,sprites,64,64,fx_explosion,
1010,sprites,64,64,fx_explosion,
1011,sprites,64,64,fx_explosion,
1012,sprites,64,64,fx_explosion,
1013,sprites,64,64,fx_explosion,
1014,sprites,64,64,fx_explosion,
1015,sprites,64,64,fx_explosion,
1016,sprites,64,64,fx_explosion,
1017,sprites,64,64,fx_explosion,
1018,sprites,64,64,fx_explosion,
1019,sprites,64,64,fx_explosion,
1020,sprites,64,64,fx_explosion,
1021,sprites,64,64,fx_explosion,
1022,sprites,64,64,fx_explosion,
1023,sprites,64,64,fx_explosion,
1024,sprites,64,64,fx_explosion,
1025,sprites,64,64,fx_explosion,
1026,sprites,64,64,fx_explosion,
1027,sprites,64,64,fx_explosion,
1028,sprites,64,64,fx_explosion,
1029,sprites,64,64,fx_explosion,
1030,sprites,64,64,fx_explosion,
1031,sprites,64,64,sprite,
1032,sprites,64,64,sprite,
1033,sprites,64,64,sprite,
1034,sprites,64,64,sprite,
